word,score,softmax,sentiment
sharp,0.9333,"[0.0489, 0.9333, 0.0178]",Neutral
top,0.9223,"[0.0629, 0.9223, 0.0148]",Neutral
ของแท้,0.9433,"[0.0429, 0.9433, 0.0138]",Neutral
บริษัท,0.9655,"[0.0235, 0.9655, 0.011]",Neutral
โดยตรง,0.9581,"[0.0295, 0.9581, 0.0124]",Neutral
ล็อต,0.9594,"[0.037, 0.9594, 0.0036]",Neutral
little,0.9162,"[0.0651, 0.9162, 0.0187]",Neutral
size,0.9461,"[0.0472, 0.9461, 0.0067]",Neutral
xiaomi,0.8282,"[0.1222, 0.8282, 0.0496]",Neutral
pro,0.936,"[0.0534, 0.936, 0.0106]",Neutral
gentle,0.9198,"[0.0635, 0.9198, 0.0166]",Neutral
color,0.9241,"[0.059, 0.9241, 0.017]",Neutral
ร้าน,0.8072,"[0.182, 0.8072, 0.0109]",Neutral
ก้าน,0.8756,"[0.1145, 0.8756, 0.0098]",Neutral
ไม้กวาด,0.9467,"[0.0407, 0.9467, 0.0125]",Neutral
มัด,0.8971,"[0.0949, 0.8971, 0.0081]",Neutral
smart,0.937,"[0.0489, 0.937, 0.0141]",Neutral
drsomchal,0.941,"[0.0493, 0.941, 0.0097]",Neutral
ราคา,0.9304,"[0.0644, 0.9304, 0.0052]",Neutral
ผลิต,0.9498,"[0.0339, 0.9498, 0.0163]",Neutral
ความจุ,0.9484,"[0.0425, 0.9484, 0.009]",Neutral
ลิตร,0.9537,"[0.0385, 0.9537, 0.0078]",Neutral
minor,0.9454,"[0.041, 0.9454, 0.0136]",Neutral
display,0.9204,"[0.0582, 0.9204, 0.0215]",Neutral
hazard,0.8947,"[0.0682, 0.8947, 0.0371]",Neutral
วันเกิด,0.8334,"[0.1601, 0.8334, 0.0066]",Neutral
ลาชา,0.8944,"[0.0953, 0.8944, 0.0103]",Neutral
ด้า,0.9033,"[0.0919, 0.9033, 0.0047]",Neutral
pay,0.9377,"[0.0411, 0.9377, 0.0212]",Neutral
day,0.8867,"[0.1008, 0.8867, 0.0125]",Neutral
เพิม,0.9006,"[0.0844, 0.9006, 0.015]",Neutral
สูด,0.8027,"[0.184, 0.8027, 0.0132]",Neutral
โปร,0.9466,"[0.0496, 0.9466, 0.0037]",Neutral
คลาย,0.902,"[0.062, 0.902, 0.0359]",Neutral
ร้อน,0.7817,"[0.0324, 0.1859, 0.7817]",Negative
กระเป๋า,0.9536,"[0.0415, 0.9536, 0.0048]",Neutral
รุ่ม,0.7865,"[0.1981, 0.7865, 0.0153]",Neutral
โหม่,0.7333,"[0.2395, 0.7333, 0.0272]",Neutral
ดีล,0.8563,"[0.1356, 0.8563, 0.0081]",Neutral
เด็ด,0.4986,"[0.4942, 0.4986, 0.0072]",Neutral
day,0.8867,"[0.1008, 0.8867, 0.0125]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
ของขวัญ,0.9106,"[0.0837, 0.9106, 0.0057]",Neutral
charming,0.9255,"[0.0553, 0.9255, 0.0192]",Neutral
march,0.9237,"[0.0645, 0.9237, 0.0118]",Neutral
คู่,0.9325,"[0.062, 0.9325, 0.0055]",Neutral
แล้,0.8849,"[0.1037, 0.8849, 0.0114]",Neutral
วดี,0.8363,"[0.1559, 0.8363, 0.0078]",Neutral
ดีล,0.8563,"[0.1356, 0.8563, 0.0081]",Neutral
พิเศษ,0.9395,"[0.0569, 0.9395, 0.0036]",Neutral
ของรางวัล,0.9356,"[0.0591, 0.9356, 0.0053]",Neutral
top,0.9223,"[0.0629, 0.9223, 0.0148]",Neutral
พิเศษ,0.9395,"[0.0569, 0.9395, 0.0036]",Neutral
ทุ่ม,0.9363,"[0.0509, 0.9363, 0.0128]",Neutral
วันเกิด,0.8334,"[0.1601, 0.8334, 0.0066]",Neutral
ลาชา,0.8944,"[0.0953, 0.8944, 0.0103]",Neutral
ค้า,0.8433,"[0.1542, 0.8433, 0.0025]",Neutral
birthday,0.8699,"[0.1161, 0.8699, 0.014]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
birthday,0.8699,"[0.1161, 0.8699, 0.014]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
march,0.9237,"[0.0645, 0.9237, 0.0118]",Neutral
ไร้,0.6144,"[0.033, 0.6144, 0.3526]",Neutral
รัง,0.9277,"[0.0635, 0.9277, 0.0088]",Neutral
protein,0.955,"[0.032, 0.955, 0.013]",Neutral
แถน,0.8744,"[0.1131, 0.8744, 0.0125]",Neutral
เปรย,0.9545,"[0.0291, 0.9545, 0.0164]",Neutral
แอลกอฮอล์,0.9415,"[0.0453, 0.9415, 0.0133]",Neutral
ข่า,0.8508,"[0.1372, 0.8508, 0.012]",Neutral
เชือ,0.8627,"[0.1235, 0.8627, 0.0138]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
valentine,0.8936,"[0.0918, 0.8936, 0.0146]",Neutral
day,0.8867,"[0.1008, 0.8867, 0.0125]",Neutral
ราคา,0.9304,"[0.0644, 0.9304, 0.0052]",Neutral
summer,0.8714,"[0.113, 0.8714, 0.0156]",Neutral
chart,0.9419,"[0.0415, 0.9419, 0.0166]",Neutral
mon,0.8931,"[0.0928, 0.8931, 0.0142]",Neutral
flow,0.8793,"[0.0739, 0.8793, 0.0468]",Neutral
ร่า,0.8241,"[0.1699, 0.8241, 0.006]",Neutral
กิจกรรม,0.9698,"[0.0266, 0.9698, 0.0036]",Neutral
ของแท้,0.9433,"[0.0429, 0.9433, 0.0138]",Neutral
ดวน,0.8732,"[0.1194, 0.8732, 0.0075]",Neutral
antonov,0.9405,"[0.0424, 0.9405, 0.0171]",Neutral
antonov,0.9405,"[0.0424, 0.9405, 0.0171]",Neutral
summer,0.8714,"[0.113, 0.8714, 0.0156]",Neutral
breeze,0.8884,"[0.0751, 0.8884, 0.0365]",Neutral
หาย,0.808,"[0.0544, 0.808, 0.1376]",Neutral
ต้อนรับ,0.8462,"[0.1453, 0.8462, 0.0085]",Neutral
ขับ,0.9278,"[0.0548, 0.9278, 0.0173]",Neutral
เมอร์นี,0.9164,"[0.0745, 0.9164, 0.0092]",Neutral
ครั่ง,0.9109,"[0.0805, 0.9109, 0.0087]",Neutral
dress,0.9382,"[0.0473, 0.9382, 0.0145]",Neutral
กรม,0.9491,"[0.0464, 0.9491, 0.0045]",Neutral
กรม,0.9491,"[0.0464, 0.9491, 0.0045]",Neutral
promotion,0.9422,"[0.0515, 0.9422, 0.0063]",Neutral
ฟิน,0.8284,"[0.8284, 0.162, 0.0096]",Positive
รีย์,0.8287,"[0.1645, 0.8287, 0.0068]",Neutral
อักเสบ,0.8457,"[0.0268, 0.8457, 0.1275]",Neutral
ต้าน,0.8889,"[0.0652, 0.8889, 0.0459]",Neutral
เธ็ง,0.8991,"[0.0918, 0.8991, 0.0091]",Neutral
เฉลีย,0.8989,"[0.0885, 0.8989, 0.0125]",Neutral
กระ,0.95,"[0.0446, 0.95, 0.0054]",Neutral
ป๋ก,0.8849,"[0.1055, 0.8849, 0.0096]",Neutral
บาท,0.9353,"[0.0502, 0.9353, 0.0145]",Neutral
นัน,0.9165,"[0.0808, 0.9165, 0.0028]",Neutral
hot,0.8602,"[0.119, 0.8602, 0.0208]",Neutral
promotion,0.9422,"[0.0515, 0.9422, 0.0063]",Neutral
กัก,0.8549,"[0.0568, 0.8549, 0.0883]",Neutral
ด้อง,0.7505,"[0.2421, 0.7505, 0.0074]",Neutral
ถาม,0.9429,"[0.0347, 0.9429, 0.0223]",Neutral
เดือน,0.9313,"[0.0576, 0.9313, 0.0111]",Neutral
แถบ,0.9224,"[0.0542, 0.9224, 0.0233]",Neutral
ถาม,0.9429,"[0.0347, 0.9429, 0.0223]",Neutral
ชุด,0.8848,"[0.0949, 0.8848, 0.0203]",Neutral
พืบ,0.8416,"[0.1422, 0.8416, 0.0163]",Neutral
ฐาน,0.9591,"[0.0325, 0.9591, 0.0085]",Neutral
หนังสือ,0.9657,"[0.0261, 0.9657, 0.0082]",Neutral
พิเศษ,0.9395,"[0.0569, 0.9395, 0.0036]",Neutral
บาท,0.9353,"[0.0502, 0.9353, 0.0145]",Neutral
petalfigy,0.9363,"[0.0414, 0.9363, 0.0222]",Neutral
กล่อง,0.9619,"[0.0338, 0.9619, 0.0043]",Neutral
probe,0.9171,"[0.065, 0.9171, 0.0179]",Neutral
top,0.9223,"[0.0629, 0.9223, 0.0148]",Neutral
set,0.9306,"[0.0624, 0.9306, 0.007]",Neutral
ขุน,0.9242,"[0.0636, 0.9242, 0.0122]",Neutral
ปัง,0.6349,"[0.6349, 0.3452, 0.0199]",Positive
เบอร์เกอร์,0.9222,"[0.0717, 0.9222, 0.006]",Neutral
โรย,0.9138,"[0.071, 0.9138, 0.0152]",Neutral
ซื้อ,0.8853,"[0.0976, 0.8853, 0.0171]",Neutral
ถุง,0.957,"[0.037, 0.957, 0.006]",Neutral
พิเศษ,0.9395,"[0.0569, 0.9395, 0.0036]",Neutral
อย่า,0.7699,"[0.0711, 0.7699, 0.159]",Neutral
ลืม,0.8646,"[0.0805, 0.8646, 0.0548]",Neutral
สิทธิ,0.9571,"[0.0235, 0.9571, 0.0194]",Neutral
ประกันสังคม,0.955,"[0.0187, 0.955, 0.0263]",Neutral
โปร,0.9466,"[0.0496, 0.9466, 0.0037]",Neutral
ต้อนรับ,0.8462,"[0.1453, 0.8462, 0.0085]",Neutral
ซับ,0.9352,"[0.047, 0.9352, 0.0177]",Neutral
เมอร์,0.9406,"[0.0523, 0.9406, 0.0071]",Neutral
ฟิน,0.8284,"[0.8284, 0.162, 0.0096]",Positive
โปรโมชัน,0.9674,"[0.0265, 0.9674, 0.0061]",Neutral
ฟัน,0.9125,"[0.0715, 0.9125, 0.016]",Neutral
เตือน,0.8826,"[0.0452, 0.8826, 0.0722]",Neutral
cool,0.7588,"[0.2166, 0.7588, 0.0246]",Neutral
light,0.9001,"[0.074, 0.9001, 0.026]",Neutral
ฟอกสี,0.9472,"[0.0406, 0.9472, 0.0121]",Neutral
ฟัน,0.9125,"[0.0715, 0.9125, 0.016]",Neutral
benton,0.9232,"[0.0627, 0.9232, 0.0141]",Neutral
music,0.9404,"[0.0371, 0.9404, 0.0224]",Neutral
กระ,0.95,"[0.0446, 0.95, 0.0054]",Neutral
เป๋,0.8439,"[0.0822, 0.8439, 0.0739]",Neutral
วาสลีน,0.9492,"[0.0455, 0.9492, 0.0054]",Neutral
โลชั่น,0.9604,"[0.0354, 0.9604, 0.0042]",Neutral
กลูด้า,0.9478,"[0.0491, 0.9478, 0.0031]",Neutral
may,0.905,"[0.0836, 0.905, 0.0114]",Neutral
lastcall,0.932,"[0.0549, 0.932, 0.0131]",Neutral
purchase,0.9457,"[0.0408, 0.9457, 0.0135]",Neutral
แก้ว,0.9434,"[0.0535, 0.9434, 0.0031]",Neutral
น้า,0.8869,"[0.1085, 0.8869, 0.0046]",Neutral
แจก,0.8268,"[0.1632, 0.8268, 0.0099]",Neutral
โฟม,0.96,"[0.0359, 0.96, 0.0041]",Neutral
ล้างมือ,0.8698,"[0.1106, 0.8698, 0.0197]",Neutral
สูต,0.8985,"[0.0903, 0.8985, 0.0112]",Neutral
อริ,0.869,"[0.1223, 0.869, 0.0087]",Neutral
นัล,0.833,"[0.1619, 0.833, 0.0052]",Neutral
ปลิ้กโฟ,0.8824,"[0.1096, 0.8824, 0.0081]",Neutral
อเนกประสงค์,0.915,"[0.0791, 0.915, 0.0059]",Neutral
ทองเหลือง,0.9499,"[0.0429, 0.9499, 0.0072]",Neutral
oooh,0.7547,"[0.2322, 0.7547, 0.0132]",Neutral
cod,0.9579,"[0.0269, 0.9579, 0.0152]",Neutral
ปลาย,0.9366,"[0.0573, 0.9366, 0.0061]",Neutral
col,0.8984,"[0.0846, 0.8984, 0.017]",Neutral
เนสกาแฟ,0.9452,"[0.0475, 0.9452, 0.0073]",Neutral
ชอง,0.8985,"[0.0943, 0.8985, 0.0072]",Neutral
กาแฟ,0.9478,"[0.0448, 0.9478, 0.0075]",Neutral
หอม,0.6642,"[0.6642, 0.3112, 0.0246]",Positive
เข้ม,0.8028,"[0.1752, 0.8028, 0.0221]",Neutral
ข้ม,0.9109,"[0.0821, 0.9109, 0.007]",Neutral
เอส,0.9426,"[0.0508, 0.9426, 0.0066]",Neutral
เปร,0.8761,"[0.0991, 0.8761, 0.0248]",Neutral
รนด์,0.9103,"[0.0833, 0.9103, 0.0064]",Neutral
อันดับ,0.908,"[0.0755, 0.908, 0.0165]",Neutral
ขาย,0.9135,"[0.0619, 0.9135, 0.0246]",Neutral
รวย,0.8004,"[0.1849, 0.8004, 0.0148]",Neutral
open,0.9517,"[0.0351, 0.9517, 0.0132]",Neutral
noise,0.9152,"[0.0531, 0.9152, 0.0317]",Neutral
reduction,0.9539,"[0.0289, 0.9539, 0.0171]",Neutral
tireless,0.9188,"[0.0504, 0.9188, 0.0308]",Neutral
noise,0.9152,"[0.0531, 0.9152, 0.0317]",Neutral
concealing,0.9476,"[0.0282, 0.9476, 0.0242]",Neutral
headphone,0.93,"[0.0422, 0.93, 0.0277]",Neutral
ขาว,0.8949,"[0.0958, 0.8949, 0.0094]",Neutral
หอม,0.6642,"[0.6642, 0.3112, 0.0246]",Positive
จัต,0.9199,"[0.0655, 0.9199, 0.0146]",Neutral
big,0.9439,"[0.043, 0.9439, 0.0131]",Neutral
ขายดี,0.6438,"[0.2929, 0.6438, 0.0633]",Neutral
อันดับ,0.908,"[0.0755, 0.908, 0.0165]",Neutral
พัดลม,0.9561,"[0.0402, 0.9561, 0.0036]",Neutral
ขนาด,0.909,"[0.0729, 0.909, 0.0181]",Neutral
พกพา,0.8968,"[0.0955, 0.8968, 0.0077]",Neutral
iiybc,0.9287,"[0.0629, 0.9287, 0.0084]",Neutral
deserve,0.9372,"[0.0313, 0.9372, 0.0315]",Neutral
blowout,0.879,"[0.0756, 0.879, 0.0454]",Neutral
studio,0.9277,"[0.0612, 0.9277, 0.011]",Neutral
top,0.9223,"[0.0629, 0.9223, 0.0148]",Neutral
ไข้,0.949,"[0.0322, 0.949, 0.0188]",Neutral
บัตร,0.9643,"[0.0311, 0.9643, 0.0046]",Neutral
ประ,0.9189,"[0.0764, 0.9189, 0.0048]",Neutral
ชาย,0.9536,"[0.0377, 0.9536, 0.0087]",Neutral
ผ่อน,0.9487,"[0.0418, 0.9487, 0.0094]",Neutral
trial,0.9465,"[0.0395, 0.9465, 0.014]",Neutral
ร่อง,0.9408,"[0.0448, 0.9408, 0.0144]",Neutral
เปล่า,0.8122,"[0.0825, 0.8122, 0.1053]",Neutral
คับ,0.8739,"[0.1228, 0.8739, 0.0033]",Neutral
mother,0.9361,"[0.046, 0.9361, 0.0179]",Neutral
phone,0.9249,"[0.0574, 0.9249, 0.0177]",Neutral
พัน,0.8842,"[0.0663, 0.8842, 0.0495]",Neutral
ราคา,0.9304,"[0.0644, 0.9304, 0.0052]",Neutral
เศษ,0.9471,"[0.0382, 0.9471, 0.0147]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
today,0.913,"[0.0702, 0.913, 0.0168]",Neutral
taodanc,0.9198,"[0.064, 0.9198, 0.0162]",Neutral
music,0.9404,"[0.0371, 0.9404, 0.0224]",Neutral
short,0.9308,"[0.0457, 0.9308, 0.0235]",Neutral
studio,0.9277,"[0.0612, 0.9277, 0.011]",Neutral
phone,0.9249,"[0.0574, 0.9249, 0.0177]",Neutral
top,0.9223,"[0.0629, 0.9223, 0.0148]",Neutral
แถม,0.652,"[0.3073, 0.652, 0.0407]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
ขนาด,0.909,"[0.0729, 0.909, 0.0181]",Neutral
พกพา,0.8968,"[0.0955, 0.8968, 0.0077]",Neutral
ขวด,0.9629,"[0.0333, 0.9629, 0.0039]",Neutral
มุ้ง,0.9483,"[0.047, 0.9483, 0.0047]",Neutral
ประตู,0.9323,"[0.0539, 0.9323, 0.0137]",Neutral
ยุง,0.8716,"[0.0313, 0.8716, 0.0971]",Neutral
แมลง,0.9206,"[0.0184, 0.9206, 0.061]",Neutral
ติดตั้ง,0.9331,"[0.0442, 0.9331, 0.0227]",Neutral
เหมาะกับ,0.6432,"[0.3349, 0.6432, 0.0219]",Neutral
ขอบ,0.8554,"[0.8554, 0.1378, 0.0068]",Positive
ประตู,0.9323,"[0.0539, 0.9323, 0.0137]",Neutral
หลากหลาย,0.7985,"[0.1832, 0.7985, 0.0183]",Neutral
เลือก,0.8387,"[0.148, 0.8387, 0.0133]",Neutral
phone,0.9249,"[0.0574, 0.9249, 0.0177]",Neutral
dynamic,0.9507,"[0.0364, 0.9507, 0.0129]",Neutral
ojummov,0.9204,"[0.061, 0.9204, 0.0186]",Neutral
ดวน,0.8732,"[0.1194, 0.8732, 0.0075]",Neutral
มีนา,0.9237,"[0.0679, 0.9237, 0.0084]",Neutral
กลัว,0.6129,"[0.0303, 0.3568, 0.6129]",Negative
galaxy,0.9117,"[0.0746, 0.9117, 0.0137]",Neutral
galaxy,0.9117,"[0.0746, 0.9117, 0.0137]",Neutral
ultra,0.929,"[0.055, 0.929, 0.016]",Neutral
phone,0.9249,"[0.0574, 0.9249, 0.0177]",Neutral
phone,0.9249,"[0.0574, 0.9249, 0.0177]",Neutral
pro,0.936,"[0.0534, 0.936, 0.0106]",Neutral
กรง,0.9633,"[0.0291, 0.9633, 0.0076]",Neutral
ย่าง,0.8718,"[0.114, 0.8718, 0.0143]",Neutral
summon,0.8859,"[0.0974, 0.8859, 0.0167]",Neutral
ban,0.8865,"[0.0935, 0.8865, 0.0201]",Neutral
old,0.9146,"[0.0567, 0.9146, 0.0287]",Neutral
สลับ,0.8933,"[0.0662, 0.8933, 0.0406]",Neutral
ไาน,0.8958,"[0.0976, 0.8958, 0.0066]",Neutral
เสียง,0.689,"[0.042, 0.689, 0.269]",Neutral
คับ,0.8739,"[0.1228, 0.8739, 0.0033]",Neutral
ของแถม,0.9472,"[0.0486, 0.9472, 0.0043]",Neutral
ค้าร์,0.9213,"[0.0763, 0.9213, 0.0024]",Neutral
เครื่อง,0.9457,"[0.0461, 0.9457, 0.0082]",Neutral
เปล่า,0.8122,"[0.0825, 0.8122, 0.1053]",Neutral
เร่,0.8523,"[0.1357, 0.8523, 0.0119]",Neutral
ต้น,0.9517,"[0.0452, 0.9517, 0.003]",Neutral
everyday,0.8681,"[0.1142, 0.8681, 0.0177]",Neutral
sport,0.9455,"[0.0338, 0.9455, 0.0207]",Neutral
short,0.9308,"[0.0457, 0.9308, 0.0235]",Neutral
เทง,0.9001,"[0.0913, 0.9001, 0.0086]",Neutral
กีฬา,0.9506,"[0.0345, 0.9506, 0.0149]",Neutral
สัน,0.8709,"[0.1184, 0.8709, 0.0107]",Neutral
แอบ,0.7746,"[0.1769, 0.7746, 0.0485]",Neutral
กันแดด,0.9549,"[0.0415, 0.9549, 0.0036]",Neutral
เอาอยู่,0.5548,"[0.427, 0.5548, 0.0183]",Neutral
phone,0.9249,"[0.0574, 0.9249, 0.0177]",Neutral
series,0.9528,"[0.0367, 0.9528, 0.0105]",Neutral
phone,0.9249,"[0.0574, 0.9249, 0.0177]",Neutral
pro,0.936,"[0.0534, 0.936, 0.0106]",Neutral
max,0.9184,"[0.069, 0.9184, 0.0126]",Neutral
shiyoda,0.8193,"[0.1457, 0.8193, 0.035]",Neutral
แบ่ง,0.8713,"[0.1081, 0.8713, 0.0206]",Neutral
ขาย,0.9135,"[0.0619, 0.9135, 0.0246]",Neutral
เมตร,0.9337,"[0.0535, 0.9337, 0.0128]",Neutral
galaxy,0.9117,"[0.0746, 0.9117, 0.0137]",Neutral
samson,0.9244,"[0.0568, 0.9244, 0.0187]",Neutral
finance,0.9486,"[0.0314, 0.9486, 0.02]",Neutral
phone,0.9249,"[0.0574, 0.9249, 0.0177]",Neutral
pro,0.936,"[0.0534, 0.936, 0.0106]",Neutral
max,0.9184,"[0.069, 0.9184, 0.0126]",Neutral
รือง,0.8993,"[0.0866, 0.8993, 0.0141]",Neutral
เปล่า,0.8122,"[0.0825, 0.8122, 0.1053]",Neutral
solid,0.9343,"[0.0479, 0.9343, 0.0178]",Neutral
speaker,0.9179,"[0.0494, 0.9179, 0.0327]",Neutral
sour,0.8686,"[0.1116, 0.8686, 0.0198]",Neutral
carbon,0.9355,"[0.0547, 0.9355, 0.0098]",Neutral
shell,0.9439,"[0.0437, 0.9439, 0.0124]",Neutral
held,0.9223,"[0.0529, 0.9223, 0.0249]",Neutral
motor,0.9452,"[0.0429, 0.9452, 0.0119]",Neutral
oil,0.9271,"[0.0568, 0.9271, 0.0161]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
premium,0.9412,"[0.0461, 0.9412, 0.0127]",Neutral
pack,0.9354,"[0.0521, 0.9354, 0.0126]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
palmar,0.9035,"[0.0784, 0.9035, 0.0182]",Neutral
thursday,0.8127,"[0.1605, 0.8127, 0.0269]",Neutral
drop,0.9088,"[0.0504, 0.9088, 0.0408]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
shop,0.9414,"[0.0477, 0.9414, 0.0109]",Neutral
flash,0.9383,"[0.0459, 0.9383, 0.0158]",Neutral
deal,0.934,"[0.0497, 0.934, 0.0163]",Neutral
mackintosh,0.8813,"[0.1006, 0.8813, 0.018]",Neutral
oak,0.899,"[0.0835, 0.899, 0.0175]",Neutral
club,0.9468,"[0.044, 0.9468, 0.0092]",Neutral
cashback,0.9123,"[0.0636, 0.9123, 0.0241]",Neutral
home,0.9166,"[0.0661, 0.9166, 0.0173]",Neutral
holder,0.9437,"[0.0352, 0.9437, 0.0211]",Neutral
merrier,0.9274,"[0.053, 0.9274, 0.0196]",Neutral
yet,0.926,"[0.0606, 0.926, 0.0134]",Neutral
scratch,0.906,"[0.0461, 0.906, 0.0479]",Neutral
test,0.9446,"[0.0426, 0.9446, 0.0129]",Neutral
mark,0.91,"[0.0784, 0.91, 0.0117]",Neutral
siiersstrong,0.8825,"[0.081, 0.8825, 0.0365]",Neutral
aylormade,0.9183,"[0.0652, 0.9183, 0.0165]",Neutral
comfort,0.9207,"[0.0404, 0.9207, 0.0389]",Neutral
reuefneu,0.8998,"[0.0755, 0.8998, 0.0247]",Neutral
nose,0.9552,"[0.0336, 0.9552, 0.0112]",Neutral
ear,0.93,"[0.0518, 0.93, 0.0182]",Neutral
hair,0.9183,"[0.0578, 0.9183, 0.0239]",Neutral
trimmed,0.9559,"[0.0319, 0.9559, 0.0122]",Neutral
best,0.7419,"[0.232, 0.7419, 0.0261]",Neutral
gift,0.9338,"[0.0544, 0.9338, 0.0118]",Neutral
smart,0.937,"[0.0489, 0.937, 0.0141]",Neutral
soft,0.8995,"[0.0728, 0.8995, 0.0277]",Neutral
white,0.9033,"[0.0789, 0.9033, 0.0178]",Neutral
lightbulb,0.9244,"[0.0546, 0.9244, 0.021]",Neutral
amazon,0.9547,"[0.0305, 0.9547, 0.0149]",Neutral
basic,0.94,"[0.0365, 0.94, 0.0235]",Neutral
coming,0.9043,"[0.0672, 0.9043, 0.0285]",Neutral
march,0.9237,"[0.0645, 0.9237, 0.0118]",Neutral
stock,0.9518,"[0.0319, 0.9518, 0.0164]",Neutral
pack,0.9354,"[0.0521, 0.9354, 0.0126]",Neutral
pair,0.9107,"[0.0685, 0.9107, 0.0207]",Neutral
fast,0.8991,"[0.0769, 0.8991, 0.024]",Neutral
shipping,0.9071,"[0.0584, 0.9071, 0.0345]",Neutral
รัน,0.9324,"[0.0596, 0.9324, 0.008]",Neutral
เด็ด,0.4986,"[0.4942, 0.4986, 0.0072]",Neutral
ชุมชน,0.9611,"[0.0322, 0.9611, 0.0066]",Neutral
soon,0.8032,"[0.1788, 0.8032, 0.0179]",Neutral
free,0.9104,"[0.0635, 0.9104, 0.0261]",Neutral
delivery,0.9421,"[0.0363, 0.9421, 0.0216]",Neutral
sores,0.8997,"[0.0734, 0.8997, 0.0269]",Neutral
feet,0.9432,"[0.0367, 0.9432, 0.0201]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
like,0.9088,"[0.0804, 0.9088, 0.0108]",Neutral
รอม,0.9006,"[0.0915, 0.9006, 0.0078]",Neutral
futureskill,0.9104,"[0.0574, 0.9104, 0.0322]",Neutral
package,0.9367,"[0.052, 0.9367, 0.0113]",Neutral
คอร์ส,0.9572,"[0.0387, 0.9572, 0.004]",Neutral
เรียน,0.9614,"[0.0306, 0.9614, 0.008]",Neutral
กรง,0.9633,"[0.0291, 0.9633, 0.0076]",Neutral
เทพ,0.8482,"[0.1384, 0.8482, 0.0134]",Neutral
ธุรกิจ,0.962,"[0.0219, 0.962, 0.0162]",Neutral
ทักษะ,0.8994,"[0.0744, 0.8994, 0.0262]",Neutral
เก่ง,0.691,"[0.691, 0.2843, 0.0247]",Positive
trial,0.9465,"[0.0395, 0.9465, 0.014]",Neutral
เวลา,0.9527,"[0.0354, 0.9527, 0.0118]",Neutral
best,0.7419,"[0.232, 0.7419, 0.0261]",Neutral
คอร์ส,0.9572,"[0.0387, 0.9572, 0.004]",Neutral
โปรแกรม,0.9694,"[0.0255, 0.9694, 0.0051]",Neutral
พืน,0.941,"[0.0521, 0.941, 0.0069]",Neutral
ฐาน,0.9591,"[0.0325, 0.9591, 0.0085]",Neutral
patron,0.8973,"[0.0845, 0.8973, 0.0182]",Neutral
ซ่อน,0.8806,"[0.0713, 0.8806, 0.0481]",Neutral
bank,0.95,"[0.0328, 0.95, 0.0172]",Neutral
amp,0.9365,"[0.0537, 0.9365, 0.0098]",Neutral
ระดับ,0.8891,"[0.0907, 0.8891, 0.0202]",Neutral
ปัง,0.6349,"[0.6349, 0.3452, 0.0199]",Positive
กระ,0.95,"[0.0446, 0.95, 0.0054]",Neutral
จาง,0.8153,"[0.0911, 0.8153, 0.0935]",Neutral
looking,0.8718,"[0.096, 0.8718, 0.0321]",Neutral
postgraduate,0.9581,"[0.0233, 0.9581, 0.0186]",Neutral
studying,0.9466,"[0.036, 0.9466, 0.0174]",Neutral
global,0.9574,"[0.0313, 0.9574, 0.0112]",Neutral
scholarship,0.95,"[0.0271, 0.95, 0.0229]",Neutral
available,0.9446,"[0.042, 0.9446, 0.0134]",Neutral
newcastle,0.8936,"[0.0846, 0.8936, 0.0218]",Neutral
university,0.9484,"[0.04, 0.9484, 0.0116]",Neutral
check,0.9333,"[0.0527, 0.9333, 0.0139]",Neutral
eligibility,0.9459,"[0.0335, 0.9459, 0.0206]",Neutral
namthip,0.8668,"[0.1189, 0.8668, 0.0143]",Neutral
top,0.9223,"[0.0629, 0.9223, 0.0148]",Neutral
ฟรี,0.8311,"[0.153, 0.8311, 0.0159]",Neutral
ลูด,0.878,"[0.1156, 0.878, 0.0064]",Neutral
ซื้อ,0.8853,"[0.0976, 0.8853, 0.0171]",Neutral
น้ำทิพย์,0.9416,"[0.0516, 0.9416, 0.0068]",Neutral
แพ็ค,0.9333,"[0.0619, 0.9333, 0.0048]",Neutral
ใบเสร็จ,0.969,"[0.0251, 0.969, 0.0059]",Neutral
coupon,0.9428,"[0.0428, 0.9428, 0.0144]",Neutral
เริบ,0.8273,"[0.1402, 0.8273, 0.0325]",Neutral
ออนไลน์,0.9593,"[0.0321, 0.9593, 0.0085]",Neutral
learn,0.9352,"[0.048, 0.9352, 0.0169]",Neutral
web,0.9453,"[0.0329, 0.9453, 0.0218]",Neutral
development,0.9583,"[0.0275, 0.9583, 0.0142]",Neutral
โปร,0.9466,"[0.0496, 0.9466, 0.0037]",Neutral
พิเศษ,0.9395,"[0.0569, 0.9395, 0.0036]",Neutral
